,Year,Lg,Rd,Pk,Tm,Player,Age,Pos,Born,College,From,To,G,MP,PTS,TRB,AST,STL,BLK,FG%,2P%,3P%,FT%,WS,WS/48
31,2017,NBA,1,30,UTA,Josh Hart,22.114,G,us,Villanova University,2018.0,2018.0,63.0,23.2,7.9,4.2,1.3,0.7,0.3,0.469,0.551,0.396,0.7020000000000001,3.4,0.111
32,2017,NBA,2,31,CHO,Frank Jackson,19.054000000000002,G,us,Duke University,,,,,,,,,,,,,,,
33,2017,NBA,2,32,PHO,Davon Reed,22.017,G,us,University of Miami,2018.0,2018.0,21.0,11.5,3.0,1.9,0.6,0.5,0.1,0.289,0.289,0.289,0.667,-0.3,-0.059000000000000004
34,2017,NBA,2,33,ORL,Wesley Iwundu,22.19,F,us,Kansas State University,2018.0,2018.0,62.0,16.5,3.7,2.2,0.9,0.5,0.2,0.42700000000000005,0.488,0.196,0.723,0.7,0.032
35,2017,NBA,2,34,SAC,Frank Mason,23.086,G,us,University of Kansas,2018.0,2018.0,52.0,18.9,7.9,2.5,2.8,0.7,0.2,0.379,0.384,0.36,0.8170000000000001,0.5,0.027000000000000003
36,2017,NBA,2,35,ORL,Ivan Rabb,20.143,F,us,University of California,2018.0,2018.0,36.0,14.3,5.6,4.4,0.9,0.3,0.4,0.5660000000000001,0.5660000000000001,,0.8059999999999999,1.2,0.109
37,2017,NBA,2,36,PHI,Jonah Bolden,21.177,F,au,,,,,,,,,,,,,,,,
38,2017,NBA,2,37,BOS,Semi Ojeleye,22.205,F,us,Southern Methodist University,2018.0,2018.0,73.0,15.8,2.7,2.2,0.3,0.3,0.1,0.34600000000000003,0.397,0.32,0.61,1.2,0.048
39,2017,NBA,2,38,CHI,Jordan Bell,22.171999999999997,F,us,University of Oregon,2018.0,2018.0,57.0,14.2,4.6,3.6,1.8,0.6,1.0,0.627,0.6409999999999999,0.0,0.682,2.9,0.174
40,2017,NBA,2,39,PHI,Jawun Evans,20.336,G,us,Oklahoma State University,2018.0,2018.0,48.0,16.2,4.8,1.8,2.1,0.8,0.1,0.35200000000000004,0.37200000000000005,0.278,0.7759999999999999,-0.2,-0.011000000000000001
41,2017,NBA,2,40,NOP,Dwayne Bacon,21.302,G,us,Florida State University,2018.0,2018.0,53.0,13.5,3.3,2.3,0.7,0.3,0.0,0.375,0.409,0.256,0.8,-0.1,-0.006999999999999999
44,2017,NBA,2,41,ATL,Tyler Dorsey,21.134,G,us,University of Oregon,2018.0,2018.0,56.0,17.4,7.2,2.3,1.4,0.3,0.1,0.376,0.39299999999999996,0.36,0.7140000000000001,0.4,0.019
45,2017,NBA,2,42,UTA,Thomas Bryant,19.331,C,us,Indiana University,2018.0,2018.0,15.0,4.8,1.5,1.1,0.4,0.1,0.1,0.381,0.636,0.1,0.556,0.1,0.05
46,2017,NBA,2,43,HOU,Isaiah Hartenstein,19.05,F,us,,,,,,,,,,,,,,,,
47,2017,NBA,2,44,NYK,Damyean Dotson,23.053,G,us,University of Oregon,2018.0,2018.0,44.0,10.8,4.1,1.9,0.7,0.3,0.0,0.447,0.5379999999999999,0.324,0.696,0.6,0.06
48,2017,NBA,2,45,HOU,Dillon Brooks,21.156999999999996,F-G,ca,University of Oregon,2018.0,2018.0,82.0,28.7,11.0,3.1,1.6,0.9,0.2,0.44,0.484,0.35600000000000004,0.747,1.2,0.024
49,2017,NBA,2,46,PHI,Sterling Brown,22.138,G,us,Southern Methodist University,2018.0,2018.0,54.0,14.4,4.0,2.6,0.5,0.6,0.2,0.4,0.439,0.35200000000000004,0.875,0.7,0.043
50,2017,NBA,2,47,IND,Ike Anigbogu,18.248,F-C,us,"University of California, Los Angeles",2018.0,2018.0,11.0,2.7,1.2,0.8,0.0,0.1,0.3,0.444,0.444,,0.833,0.1,0.165
51,2017,NBA,2,48,MIL,Sindarius Thornwell,22.225,G,us,University of South Carolina,2018.0,2018.0,73.0,15.8,3.9,1.9,0.9,0.7,0.3,0.429,0.44799999999999995,0.377,0.67,1.0,0.040999999999999995
52,2017,NBA,2,49,DEN,Vlatko Cancar,20.078,F,si,,,,,,,,,,,,,,,,
53,2017,NBA,2,50,PHI,Mathias Lessort,21.272,F,mq,,,,,,,,,,,,,,,,
54,2017,NBA,2,51,DEN,Monte Morris,22.000999999999998,G,us,Iowa State University,2018.0,2018.0,3.0,8.3,3.3,0.7,2.3,1.0,0.0,0.667,0.8,0.0,1.0,0.2,0.312
55,2017,NBA,2,52,NOP,Edmond Sumner,21.179000000000002,G,us,Xavier University,2018.0,2018.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,,,0.0,0.425
56,2017,NBA,2,53,BOS,Kadeem Allen,24.164,G,us,University of Arizona,2018.0,2018.0,18.0,5.9,1.1,0.6,0.7,0.2,0.1,0.273,0.545,0.0,0.778,-0.1,-0.039
57,2017,NBA,2,54,PHO,Alec Peters,22.076,F,us,Valparaiso University,2018.0,2018.0,20.0,11.3,4.1,1.9,0.6,0.1,0.1,0.37799999999999995,0.625,0.31,0.8,0.3,0.055
